§sequence§labels§scores§Top 3
0§Freie Demokraten Freie Demokraten  Beschluss des  Ord§bildung§0.3781391978263855§[('bildung', 0.3781391978263855), ('politik und ideologie', 0.3347404897212982), ('gesundheit', 0.08408195525407791)]
0§Die Coronakrise hat ge- zeigt, dass unklare Zuständigkeiten, eine erdrückende Büro- kratie und digitale Defizite bei den Behörden schnelle und pragmatische Lösungen verhindern§gesundheit§0.3739980459213257§[('gesundheit', 0.3739980459213257), ('bildung', 0.3435598909854889), ('soziale ursachen', 0.06524845957756042)]
0§Es geht nicht nur um die Digitalisierung von Prozessen, sondern vor allem um einen Mentalitätswandel§gesundheit§0.3302249610424042§[('gesundheit', 0.3302249610424042), ('bildung', 0.3239831328392029), ('soziale ursachen', 0.09433498233556747)]
0§Um das Megaprojekt der Verwaltungs- modernisierung zu bewältigen, setzen wir auf eine agile Herangehensweise, die arbeitsfähige Ergebnisse vor starren Strategien priorisiert§bildung§0.3300827145576477§[('bildung', 0.3300827145576477), ('gesundheit', 0.2944381535053253), ('wirtschaft', 0.11587918549776077)]
0§Um Anreize für die digitale Transfor- mation von Prozessen und Arbeitsweisen zu schaffen, sollen durch die Digitalisierung erreichte Einsparungen („Digitale Dividende“) für Investitionen in der jeweiligen öffentlichen Stelle verbleiben§bildung§0.3246297240257263§[('bildung', 0.3246297240257263), ('wirtschaft', 0.1460466980934143), ('gesundheit', 0.10889077931642532)]
0§Auch in Bildungs- und Sicherheitsfragen  Wir Freie Demokraten wollen einen unkom- plizierten Staat, der den Bürgerinnen und Bürgern das Leben erleichtert§bildung§0.4057568907737732§[('bildung', 0.4057568907737732), ('politik und ideologie', 0.2126159518957138), ('gesundheit', 0.16588401794433594)]
0§Wir wollen daher den Weg frei machen für eine bürgernahe und digitale Verwaltung§bildung§0.2140689641237259§[('bildung', 0.2140689641237259), ('gesundheit', 0.21402914822101593), ('soziale ursachen', 0.12344182282686234)]
0§Der durchschnittliche Amtsbesuch§bildung§0.32577547430992126§[('bildung', 0.32577547430992126), ('gesundheit', 0.2694411277770996), ('wirtschaft', 0.11328288167715073)]
0§dauert Minuten§gesundheit§0.22702981531620026§[('gesundheit', 0.22702981531620026), ('bildung', 0.20800255239009857), ('none', 0.11250345408916473)]
0§S  An- und Warten in Bearbeitung € Abreise: der Behörde: des Anliegens: E  Minuten Minuten Minuten ö Ö  Sämtliche Bürgerservices online erledigen statt vor dem Amt Schlange stehen - das darf keine Zukunftsutopie bleiben§bildung§0.2890346050262451§[('bildung', 0.2890346050262451), ('gesundheit', 0.2626112699508667), ('soziale ursachen', 0.1436387151479721)]
0§Wir Freie Demokraten wollen einen unkomplizierten Staat, der den Bürgerinnen und Bürgern das Leben erleichtert§politik und ideologie§0.3989817202091217§[('politik und ideologie', 0.3989817202091217), ('bildung', 0.24003981053829193), ('gesundheit', 0.1426543891429901)]
0§Wir wollen daher den Weg frei machen für eine bürgernahe und digitale Verwaltung§bildung§0.2140689641237259§[('bildung', 0.2140689641237259), ('gesundheit', 0.21402914822101593), ('soziale ursachen', 0.12344182282686234)]
0§Weitreichende Föderalismus- und Verwaltungsreform  Wir Freie Demokraten wollen durch eine umfassende Föderalismus- und Verwaltungsreform einen modernen und  Das Programm der Freien Demokraten zur Bundestagswahl  sind verschiedene Systeme nicht mehr zeitgemäß§bildung§0.2538376748561859§[('bildung', 0.2538376748561859), ('politik und ideologie', 0.23284471035003662), ('gesundheit', 0.1324363499879837)]
0§Wir wollen deshalb die Kompetenzverteilung zwischen den staatlichen Ebenen neu regeln, die Digitalisierung der Verwaltung vorantreiben und das öffentliche Dienstrecht flexibilisieren§bildung§0.23579628765583038§[('bildung', 0.23579628765583038), ('gesundheit', 0.22164101898670197), ('klima', 0.10732657462358475)]
0§Der Staat soll sich auf seine Kernaufgaben konzentrieren und die Stärke des marktwirtschaftlichen Wett- bewerbs nutzen§wirtschaft§0.4838397800922394§[('wirtschaft', 0.4838397800922394), ('bildung', 0.19642037153244019), ('politik und ideologie', 0.10178887844085693)]
0§Vorsorge für funktionierende Wirtschaftshilfen treffen  Wir Freie Demokraten fordern, für den Fall der Fälle bei Wirtschaftshilfen und Hilfen für Selbstständige in Zukunft besser gerüstet zu sein§wirtschaft§0.37990453839302063§[('wirtschaft', 0.37990453839302063), ('bildung', 0.17254729568958282), ('politik und ideologie', 0.15060767531394958)]
0§Die Coronakrise hat gezeigt, welche Instrumente es im Fall großer Krisen mit außergewöhnlichen   Verhältnissen in der gesamten Wirtschaft und auf dem gesamten Arbeitsmarkt braucht§wirtschaft§0.6803591847419739§[('wirtschaft', 0.6803591847419739), ('bildung', 0.18530766665935516), ('gesundheit', 0.03320051729679108)]
0§Für solche Fälle brauchen wir eine negative Gewinnsteuer, bei der Verluste aus dem aktuellen Jahr mit Gewinnen der Vorjahre verrechnet werden können§bildung§0.25432518124580383§[('bildung', 0.25432518124580383), ('gesundheit', 0.23356319963932037), ('wirtschaft', 0.23304693400859833)]
0§Und wir brauchen dann ebenso Hilfen für Selbst- ständige mit und ohne Angestellte, um einen ausreichenden Unternehmerlohn zu gewährleisten§gesundheit§0.23036302626132965§[('gesundheit', 0.23036302626132965), ('bildung', 0.17702002823352814), ('wirtschaft', 0.17672836780548096)]
0§Behörden zu One-Stop-Shops machen  Wir Freie Demokraten wollen Behörden konsequent zu One-Stop-Shops ausbauen§politik und ideologie§0.32378917932510376§[('politik und ideologie', 0.32378917932510376), ('gesundheit', 0.165382981300354), ('bildung', 0.16404540836811066)]
0§Daten werden einmalig an die Verwaltung weitergegeben und dann an entsprechender Stelle verarbeitet§bildung§0.3497633934020996§[('bildung', 0.3497633934020996), ('wirtschaft', 0.1582643985748291), ('gesundheit', 0.15244486927986145)]
0§Zur Funktionsfähigkeit des Systems fordern wir einheitliche Standards§gesundheit§0.292424738407135§[('gesundheit', 0.292424738407135), ('bildung', 0.22747376561164856), ('infrastruktur', 0.10015912353992462)]
0§Damit lassen sich Prozesse der Verwaltung beschleunigen§wirtschaft§0.23725667595863342§[('wirtschaft', 0.23725667595863342), ('gesundheit', 0.16150285303592682), ('bildung', 0.15920056402683258)]
0§Wir bauen Bürokratie ab und erleichtern das Gründen§bildung§0.44396650791168213§[('bildung', 0.44396650791168213), ('wirtschaft', 0.12751798331737518), ('infrastruktur', 0.12267348170280457)]
0§Darüber hinaus kann ein One-Stop- Shop die Vernetzung und den Austausch mit privaten und öffentlichen Akteuren vorantreiben§bildung§0.3330575227737427§[('bildung', 0.3330575227737427), ('gesundheit', 0.13985374569892883), ('wirtschaft', 0.10261392593383789)]
0§Zahlungsmoral-Offensive der öffentlichen Hand  Wir Freie Demokraten wollen eine Zahlungsmoral-Offensive der öffentlichen Hand§bildung§0.3386082649230957§[('bildung', 0.3386082649230957), ('politik und ideologie', 0.27811500430107117), ('gesundheit', 0.10520800203084946)]
0§Zugleich fordern wir, die Vergabe- schwellenwerte für und zu erhöhen, damit Investitionen schneller umgesetzt werden§bildung§0.22013147175312042§[('bildung', 0.22013147175312042), ('wirtschaft', 0.20277641713619232), ('gesundheit', 0.12329275161027908)]
0§Investitionen der öffentlichen Hand haben in Krisenzeiten einen wichtigen Sta- bilisierungseffekt§wirtschaft§0.32856276631355286§[('wirtschaft', 0.32856276631355286), ('bildung', 0.22163096070289612), ('gesundheit', 0.10816104710102081)]
0§Offene Rechnungen können Liquidität und Arbeitsplätze besonders im Mittelstand massiv gefährden§gesundheit§0.23667395114898682§[('gesundheit', 0.23667395114898682), ('wirtschaft', 0.17155952751636505), ('bildung', 0.16857914626598358)]
0§Das wollen wir verhindern§gesundheit§0.3554530739784241§[('gesundheit', 0.3554530739784241), ('politik und ideologie', 0.16977080702781677), ('bildung', 0.15046429634094238)]
0§Vorfälligkeit der Beiträge rückgängig machen - Unternehmen entlasten  Wir Freie Demokraten wollen die Vorfälligkeit bei der Ab- führung von Sozialversicherungsbeiträgen wieder rückgängig machen§politik und ideologie§0.18690890073776245§[('politik und ideologie', 0.18690890073776245), ('soziale ursachen', 0.18586920201778412), ('bildung', 0.17228491604328156)]
0§Sie führt nicht nur zu bürokratischer Mehrbelastung, sondern entzieht den Unternehmen Kapital§gesundheit§0.2950173318386078§[('gesundheit', 0.2950173318386078), ('wirtschaft', 0.17500343918800354), ('bildung', 0.14501838386058807)]
0§Anstelle von§gesundheit§0.3172560930252075§[('gesundheit', 0.3172560930252075), ('bildung', 0.19468912482261658), ('none', 0.11572418361902237)]
0§Monatsabrechnungen müssen Unternehmen wieder nur noch zwölf Abrechnungen tätigen und sie können auf Regelungen zum Schätzen verzichten§bildung§0.3061474859714508§[('bildung', 0.3061474859714508), ('gesundheit', 0.17772537469863892), ('soziale ursachen', 0.09567809849977493)]
0§Dies entlastet von erheblichem  bürokratischem Aufwand§gesundheit§0.3938974440097809§[('gesundheit', 0.3938974440097809), ('bildung', 0.3298603594303131), ('infrastruktur', 0.04909999668598175)]
0§Der Buchdruck, das Auto, der Computer - Deutschland war schon immer ein Land, in dem der Fortschritt gemacht wurde§bildung§0.35641059279441833§[('bildung', 0.35641059279441833), ('gesundheit', 0.2707778811454773), ('infrastruktur', 0.09346619248390198)]
0§Und Fortschritt bietet viele Chancen, das Leben und den All- tag der Menschen besser und einfacher zu machen§bildung§0.29664021730422974§[('bildung', 0.29664021730422974), ('gesundheit', 0.18571564555168152), ('klima', 0.09873638302087784)]
0§Ebenso ist Innovation eine Voraussetzung für Wohlstand, Wachstum und Arbeitsplätze§wirtschaft§0.2880163788795471§[('wirtschaft', 0.2880163788795471), ('bildung', 0.22662150859832764), ('gesundheit', 0.21486836671829224)]
0§Wir brauchen jetzt die richtigen Ideen, um im globalen Rennen aufzuholen und in Zukunftsfeldern wie der Biotechnologie wieder eine Spitzenposition einzuneh- men§politik und ideologie§0.5085276961326599§[('politik und ideologie', 0.5085276961326599), ('bildung', 0.1778649091720581), ('gesundheit', 0.09693559259176254)]
0§Dazu braucht es neues Denken§bildung§0.27391356229782104§[('bildung', 0.27391356229782104), ('gesundheit', 0.17916934192180634), ('politik und ideologie', 0.11806756258010864)]
0§Ein Denken, das nach vorne gerichtet ist und nicht im Status quo verharrt§bildung§0.34791117906570435§[('bildung', 0.34791117906570435), ('gesundheit', 0.338853120803833), ('wissenschaft', 0.0748390480875969)]
0§Das Programm der Freien Demokraten zur Bundestagswahl  Innovationsprinzip bei politischen Entscheidungen  Wir Freie Demokraten wollen für politische Entscheidungen das Innovationsprinzip ergänzend zum Vorsorgeprinzip§politik und ideologie§0.37635737657546997§[('politik und ideologie', 0.37635737657546997), ('bildung', 0.3068687915802002), ('gesundheit', 0.08773855119943619)]
0§Bei der Folgenabschätzung soll nicht nur auf mögliche Risiken einer Maßnahme geschaut werden§bildung§0.283251017332077§[('bildung', 0.283251017332077), ('gesundheit', 0.23520778119564056), ('wissenschaft', 0.1867155283689499)]
0§Genauso intensiv muss ermittelt werden, welche Chancen bei Unterlassung verloren gehen§gesundheit§0.3885021209716797§[('gesundheit', 0.3885021209716797), ('bildung', 0.1872117966413498), ('wissenschaft', 0.08313972502946854)]
0§Damit sichern wir die Zukunft§gesundheit§0.34883564710617065§[('gesundheit', 0.34883564710617065), ('bildung', 0.15112824738025665), ('klima', 0.14542578160762787)]
0§Deutsche Transfergemeinschaft - Innovationen fördern  Wir Freie Demokraten wollen die Gründung einer Deutschen Transfergemeinschaft (DTG) auf den Weg bringen§bildung§0.3326793611049652§[('bildung', 0.3326793611049652), ('gesundheit', 0.2510431110858917), ('politik und ideologie', 0.11740859597921371)]
0§Sie soll unabhängig agieren und als Selbstverwaltungseinrichtung sowohl technologische als auch soziale Innovationen unter- stützen§bildung§0.5071617364883423§[('bildung', 0.5071617364883423), ('soziale ursachen', 0.1564595103263855), ('gesundheit', 0.09398947656154633)]
0§Förderfähig sind einerseits Projekte unter Beteiligung einer Hochschule und andererseits eines Unternehmens aus der Wirtschaft oder Zivilgesellschaft§wirtschaft§0.7468470931053162§[('wirtschaft', 0.7468470931053162), ('bildung', 0.10375397652387619), ('gesundheit', 0.05371826887130737)]
0§Die DTG wäre ein One- Stop-Shop, der Transfer-Know-how bündelt und kostenneutral durch bislang auf mehrere Ministerien verteilte Transferförder- gelder finanziert wäre§bildung§0.341062068939209§[('bildung', 0.341062068939209), ('gesundheit', 0.28784552216529846), ('wissenschaft', 0.16120432317256927)]
0§Software- und Hightech-Unternehmen sowie Start-ups werden so in ihrer Leistungs- und Innovations- kraft gestärkt§gesundheit§0.3748733699321747§[('gesundheit', 0.3748733699321747), ('bildung', 0.28444546461105347), ('soziale ursachen', 0.09107852727174759)]
0§Mittel an Zielerreichung binden - echte Innovationsstrategie entwickeln  Wir Freie Demokraten wollen die Mittelfreigabe für Bundes- programme stärker an deren Zielerreichung binden - in einem ersten Schritt mindestens Prozent des Aufwuchses an Bundesmitteln rückwirkend ab  Wird der Nachweis nicht ausreichend erbracht, sollen die frei werdenden Mittel in einem wettbewerblichen Verfahren an die anderen Akteure gegeben werden, die bei ihrer Zielerreichung erfolgreicher waren§bildung§0.28365591168403625§[('bildung', 0.28365591168403625), ('politik und ideologie', 0.1745191216468811), ('gesundheit', 0.13542479276657104)]
0§Für die vielen Milliarden Euro teuren Strategien der Bundesregierung (Kl, Hightech, FONA und weitere) fehlen bislang Zielhierarchien und Erfolgsindikatoren§wirtschaft§0.28205427527427673§[('wirtschaft', 0.28205427527427673), ('bildung', 0.19181452691555023), ('politik und ideologie', 0.14233988523483276)]
0§Wir wollen Fortschritte messen und aus vielen Einzelstrategien eine echte Innovationsstrategie machen§bildung§0.3370904326438904§[('bildung', 0.3370904326438904), ('gesundheit', 0.11410664767026901), ('wirtschaft', 0.10512315481901169)]
0§Digitale Freiheitszonen schaffen  Wir Freie Demokraten wollen digitale Freiheitszonen zur För- derung digitaler und innovativer Geschäftsmodelle einführen§bildung§0.20072445273399353§[('bildung', 0.20072445273399353), ('politik und ideologie', 0.17027847468852997), ('wirtschaft', 0.12899531424045563)]
0§Um die Entstehung von Clustern insbesondere bei IT-Schlüs- seltechnologien wie Künstliche Intelligenz und Blockchain  zu begünstigen, wollen wir bestimmte Regionen als digitale Freiheitszonen ausweisen§bildung§0.36314916610717773§[('bildung', 0.36314916610717773), ('gesundheit', 0.2478317767381668), ('infrastruktur', 0.1390550434589386)]
0§Dort sollen weniger Regularien gel- ten§gesundheit§0.26644131541252136§[('gesundheit', 0.26644131541252136), ('bildung', 0.2188490480184555), ('soziale ursachen', 0.1307145208120346)]
0§Steuerliche Forschungsförderung, bessere Finanzierungs- möglichkeiten für Start-ups und weniger Bürokratie sollen Gründungen erleichtern§bildung§0.4233919382095337§[('bildung', 0.4233919382095337), ('soziale ursachen', 0.1268395036458969), ('wirtschaft', 0.11345910280942917)]
0§Bioökonomie: Wohlstand und nachhaltige Entwicklung zusammenbringen  Wir Freie Demokraten wollen mit der Bioökonomie Antworten auf globale Herausforderungen unserer Zeit finden: Klima- wandel, Schutz natürlicher Lebensgrundlagen, Sicherstellung der Welternährung und die Endlichkeit fossiler Rohstoffe§bildung§0.25731828808784485§[('bildung', 0.25731828808784485), ('wissenschaft', 0.20211970806121826), ('klima', 0.16841450333595276)]
